Date of IPO,Name,Ticker,ROI,ARR,Status,sector,exchange,country,industry,marketCap,heldPercentInstitutions,logo_url
2021-03-23,Glass Houses Acquisition Corp.,GLHA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,Rocket Internet Growth Opportunities Corp.,RKTA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,TB SA Acquisition Corp,TBSA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,Virgin Group Acquisition Corp. II,VGII,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,"Supernova Partners Acquisition Company III, Ltd.",STRE,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-23,"Gores Guggenheim, Inc.",GGPI,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,Magnum Opus Acquisition Limited,OPA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,Dragoneer Growth Opportunities Corp. III,DGNU,0.013999999999999999,0.235,Seeking a Target,Financial Services,NMS,United States,Shell Companies,505499968,,
2021-03-23,"Lead Edge Growth Opportunities, Ltd",LEGA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,NextGen Acquisition Corp. II,NGCA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-19,LDH Growth Corp I,LDHA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-19,Longview Acquisition Corp. II,LGV,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-19,Levere Holdings Corp.,LVRA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-19,Glenfarne Merger Corp.,GGMC,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-19,AF Acquisition Corp.,AFAQ,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-19,BYTE Acquisition Corp.,BYTS,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,American Acquisition Opportunity Inc.,AMAO,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,Forum Merger IV Corporation,FMIV,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,GX Acquisition Corp. II,GXII,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,Revolution Healthcare Acquisition Corp.,REVH,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,Accelerate Acquisition Corp.,AAQC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,Research Alliance Corp. II,RACB,0.1,2.319,Seeking a Target,Financial Services,NCM,United States,Shell Companies,209708448,0.15841,
2021-03-17,KKR Acquisition Holdings I Corp.,KAHC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-17,Athena Technology Acquisition Corp.,ATHN,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-17,Tech and Energy Transition Corporation,TETC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-17,Golden Arrow Merger Corp.,GAMC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-17,Kadem Sustainable Impact Corporation,KSI,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-17,Build Acquisition Corp.,BGSX,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-16,Reinvent Technology Partners Y,RTPY,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-16,European Biotech Acquisition Corp.,EBAC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-16,Fortress Value Acquisition Corp. IV,FVIV,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-16,Plum Acquisition Corp. I,PLMI,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-16,Waldencast Acquisition Corp.,WALD,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-16,FAST Acquisition Corp. II,FZT,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-12,"Gores Technology Partners, Inc.",GTPA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-12,Ross Acquisition Corp II,ROSS,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-12,FTAC Parnassus Acquisition Corp.,FTPA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-12,Stratim Cloud Acquisition Corp.,SCAQ,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-12,CF Acquisition Corp. VIII,CFFE,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-12,"Gores Technology Partners II, Inc.",GTPB,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,Silver Spike Acquisition Corp II,SPKB,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,Archimedes Tech SPAC Partners Co.,ATSP,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,G&P Acquisition Corp.,GAPA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,Frontier Acquisition Corp.,FRON,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,Pine Technology Acquisition Corp.,PTOC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,L Catterton Asia Acquisition Corp,LCAA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-10,Agile Growth Corp.,AGGR,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-10,Colonnade Acquisition Corp. II,CLAA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-10,Digital Transformation Opportunities Corp.,DTOC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-10,Vector Acquisition Corporation II,VAQC,-0.005,-0.048,Seeking a Target,Financial Services,NMS,United States,Shell Companies,572352960,0.063990004,https://logo.clearbit.com/vectorcapital.com
2021-03-10,Sandbridge X2 Corp.,SBII,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-10,Forest Road Acquisition Corp. II,FRXB,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-10,ESM Acquisition Corporation,ESM,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-10,PWP Forward Acquisition Corp. I,FRW,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-09,Peridot Acquisition Corp. II,PDOT,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-09,SVF Investment Corp. 2,SVFB,0.035,0.392,Seeking a Target,Financial Services,NMS,United States,Shell Companies,302507008,0.05217,
2021-03-09,SVF Investment Corp. 3,SVFC,0.02,0.21,Seeking a Target,Financial Services,NCM,United States,Shell Companies,418608000,0.056220002,
2021-03-09,Independence Holdings Corp.,ACQR,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-05,VPC Impact Acquisition Holdings II,VPCB,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-05,Tribe Capital Growth Corp I,ATVC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-05,"VPC Impact Acquisition Holdings III, Inc.",VPCC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-05,Lerer Hippeau Acquisition Corp.,LHAA,-0.005,-0.043,Seeking a Target,Financial Services,NMS,United States,Shell Companies,284895808,0.15890999,
2021-03-05,InterPrivate II Acquisition Corp.,IPVA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-05,InterPrivate III Financial Partners Inc.,IPVF,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-05,InterPrivate IV InfraTech Partners Inc.,IPVI,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-05,"dMY Technology Group, Inc. IV",DMYQ,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-05,Tailwind Two Acquisition Corp.,TWNT,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-05,First Reserve Sustainable Growth Corp.,FRSG,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-05,Warburg Pincus Capital Corporation I A,WPCA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-05,Warburg Pincus Capital Corporation I B,WPCB,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-04,Twin Ridge Capital Acquisition Corp.,TRCA,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-04,Altimar Acquisition Corp. III,ATAQ,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-04,FTAC Hera Acquisition Corp.,HERA,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-04,Property Solutions Acquisition Corp. II,PSAG,-0.004,-0.033,Seeking a Target,Financial Services,NMS,United States,Shell Companies,,0.05333,
2021-03-04,Atlantic Coastal Acquisition Corp.,ACAH,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-04,RXR Acquisition Corp.,RXRA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-04,Aurora Acquisition Corp.,AURC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-04,Khosla Ventures Acquisition Co.,KVSA,0.05,0.513,Seeking a Target,Financial Services,NMS,United States,Shell Companies,472641120,0.00049,
2021-03-04,M3-Brigade Acquisition II Corp.,MBAC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-03,Roth CH Acquisition III Co.,ROCR,0.033,0.312,Seeking a Target,Financial Services,NMS,United States,Shell Companies,147682160,0.06115,
2021-03-03,Isos Acquisition Corp.,ISOS,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-03,Mission Advancement Corp.,MACC,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-02,Goldenbridge Acquisition Limited,GBRG,0.039,0.364,Seeking a Target,Financial Services,NMS,Hong Kong,Shell Companies,,,
2021-03-02,Live Oak Mobility Acquisition Corp.,LOKM,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,"Advanced Merger Partners, Inc.",AMPI,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,Northern Star Investment Corp. III,NSTC,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-02,Northern Star Investment Corp. IV,NSTD,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,TCW Special Purpose Acquisition Corp.,TSPQ,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,Anzu Special Acquisition Corp I,ANZU,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,DHC Acquisition Corp.,DHCA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,NightDragon Acquisition Corp.,NDAC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,"Supernova Partners Acquisition Company II, Ltd.",SNII,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,FinTech Evolution Acquisition Group,FTEV,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,Arrowroot Acquisition Corp.,ARRW,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,Haymaker Acquisition Corp. III,HYAC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,DHB Capital Corp.,DHBC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-02,Orion Acquisition Corp.,OHPA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-02-26,African Gold Acquisition Corporation,AGAC,0.003,0.026000000000000002,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,499904992,,
2021-02-26,Fusion Acquisition Corp. II,FSNB,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-02-26,Kensington Capital Acquisition Corp. II,KCAC,,,Seeking a Target,NaN,NYQ,NaN,NaN,,NaN,
2021-02-26,Leo Holdings III Corp,LIII,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-02-26,MCAP Acquisition Corporation,MACQ,,,Seeking a Target,NaN,NAS,NaN,NaN,,NaN,
2021-02-26,Twelve Seas Investment Company II,TWLV,,,Seeking a Target,NaN,NAS,NaN,NaN,,NaN,
2021-02-26,Warrior Technologies Acquisition Company,WARR,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-02-26,SilverBox Engaged Merger Corp I,SBEA,,,Seeking a Target,NaN,NAS,NaN,NaN,,NaN,
2021-02-26,Ibere Pharmaceuticals,IBER,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-02-26,Austerlitz Acquisition Corporation I,AUS,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-02-26,Austerlitz Acquisition Corporation II,ASZ,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-02-26,Freedom Acquisition I Corp.,FACT,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-02-26,ARYA Sciences Acquisition Corp IV,ARYD,0.08,0.774,Seeking a Target,Financial Services,NCM,United States,Shell Companies,206254880,0.27696,
2021-02-25,Isleworth Healthcare Acquisition Corp.,ISLE,0.01,0.071,Seeking a Target,Financial Services,NMS,United States,Shell Companies,,0.0043099998,
2021-02-25,Gores Holdings VIII,GIIX,,,Seeking a Target,NaN,NAS,NaN,NaN,,NaN,
2021-02-25,Flame Acquisition Corp.,FLME,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-02-25,USHG Acquisition Corp.,HUGS,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-02-25,EJF Acquisition Corp.,EJFA,,,Seeking a Target,NaN,NAS,NaN,NaN,,NaN,
2021-02-24,BOA Acquisition Corp.,BOAS,0.003,0.024,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,281175008,,
2021-02-24,Hudson Executive Investment Corp. III,HIII,,,Seeking a Target,Financial Services,NAS,United States,Shell Companies,,,
2021-02-24,Cartesian Growth Corporation,GLBL,,,Seeking a Target,Financial Services,NAS,United States,Shell Companies,,,
2021-02-24,Colicity Inc.,COLI,0.016,0.12,Seeking a Target,Financial Services,NCM,United States,Shell Companies,,,
2021-02-24,Soaring Eagle Acquisition Corp.,SRNG,,,Seeking a Target,NaN,NMS,NaN,NaN,,NaN,
2021-02-23,FTAC Athena Acquisition Corp.,FTAA,,,Seeking a Target,Financial Services,NAS,United States,Shell Companies,,,
2021-02-23,Slam Corp.,SLAM,0.003,0.021,Seeking a Target,Financial Services,NCM,United States,Shell Companies,704375040,,https://logo.clearbit.com/slamcorp.com
2021-02-23,Arctos NorthStar Acquisition Corp.,ANAC,0.021,0.155,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,391358880,,
2021-02-23,Velocity Acquisition Corp.,VELO,,,Seeking a Target,Financial Services,NAS,United States,Shell Companies,,,https://logo.clearbit.com/velocityacq.co
2021-02-23,"Gores Holdings VII, Inc.",GSEV,0.01,0.07400000000000001,Seeking a Target,Financial Services,NMS,United States,Shell Companies,681120000,,
2021-02-19,B. Riley Principal 150 Merger Corp.,BRPM,0.01,0.065,Seeking a Target,Financial Services,NCM,United States,Shell Companies,,,https://logo.clearbit.com/brileyfin.com
2021-02-19,Alpha Capital Acquisition Company,ASPC,0.006999999999999999,0.046,Seeking a Target,Financial Services,NCM,United States,Shell Companies,283474976,,
2021-02-19,CF Acquisition Corp. VI,CFVI,0.001,0.005,Seeking a Target,Financial Services,NCM,United States,Shell Companies,375124000,,
2021-02-19,"Simon Property Group Acquisition Holdings, Inc.",SPGS,0.017,0.115,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,428908288,,
2021-02-19,Tailwind International Acquisition Corp.,TWNI,0.011000000000000001,0.07400000000000001,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,426075008,,https://logo.clearbit.com/twni.tailwindacquisition.com
2021-02-19,Figure Acquisition Corp. I,FACA,0.062,0.47600000000000003,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,423031328,,
2021-02-18,Kismet Acquisition Two Corp.,KAII,-0.003,-0.017,Seeking a Target,Financial Services,NMS,United States,Shell Companies,285187488,,
2021-02-18,Kismet Acquisition Three Corp.,KIII,,,Seeking a Target,Financial Services,NMS,United States,Shell Companies,354172512,0,
2021-02-18,FinServ Acquisition Corp. II,FSRX,,,Seeking a Target,Financial Services,NAS,United States,Shell Companies,,,
2021-02-17,FS Development Corp. II,FSII,0.012,0.075,Seeking a Target,Financial Services,NCM,United States,Shell Companies,259391104,0.0043200003,
2021-02-17,SportsTek Acquisition Corp.,SPTK,0.012,0.078,Seeking a Target,Financial Services,NMS,United States,Shell Companies,,,
2021-02-17,ABG Acquisition Corp. I,ABGI,,,Seeking a Target,Financial Services,NCM,United States,Shell Companies,191392736,0.01323,
2021-02-17,Moringa Acquisition Corp,MACA,0.012,0.075,Seeking a Target,Financial Services,NCM,United States,Shell Companies,147213040,0.14908,https://logo.clearbit.com/moringaac.com
2021-02-17,New Vista Acquisition Corp,NVSA,0.011000000000000001,0.073,Seeking a Target,Financial Services,NMS,United States,Shell Companies,337755008,0.0625,
2021-02-17,Pathfinder Acquisition Corporation,PFDR,-0.001,-0.006,Seeking a Target,Financial Services,NMS,United States,Shell Companies,406726272,,https://logo.clearbit.com/pathfinderacquisition.com
2021-02-16,Medicus Sciences Acquisition Corp.,MSAC,-0.019,-0.114,Seeking a Target,Financial Services,NMS,United States,Shell Companies,,0.08502,https://logo.clearbit.com/medicusspac.com
2021-02-12,Churchill Capital Corp VI,CCVI,0.019,0.11599999999999999,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,686253248,,
2021-02-12,Churchill Capital Corp VII,CVII,0.004,0.023,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,1690500096,0.050830003,
2021-02-12,Bite Acquisition Corp.,BITE,,,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,225431696,0,
2021-02-12,Catcha Investment Corp,CHAA,0.015,0.09,Seeking a Target,Financial Services,NYQ,Malaysia,Shell Companies,375271360,,
2021-02-12,Social Leverage Acquisition Corp I,SLAC,0.009000000000000001,0.053,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,423487488,,
2021-02-12,Tishman Speyer Innovation Corp. II,TSIB,0.015,0.09,Seeking a Target,Financial Services,NMS,United States,Shell Companies,,,
2021-02-12,Broadscale Acquisition Corp.,SCLE,0.006999999999999999,0.040999999999999995,Seeking a Target,Financial Services,NCM,United States,Shell Companies,,,
2021-02-12,Rosecliff Acquisition Corp I,RCLF,0.001,0.004,Seeking a Target,Financial Services,NMS,United States,Shell Companies,309924992,,
2021-02-12,Tuatara Capital Acquisition Corporation,TCAC,0.016,0.09300000000000001,Seeking a Target,Financial Services,NMS,United States,Shell Companies,245305760,0.05829,
2021-02-11,Goal Acquisitions Corp.,PUCK,0.031,0.19,Seeking a Target,Financial Services,NMS,United States,Shell Companies,,0.081470005,
2021-02-11,ION Acquisition Corp 2 Ltd.,IACB,,,Seeking a Target,Financial Services,NYQ,Israel,Shell Companies,322575008,,https://logo.clearbit.com/ion-am.com
2021-02-10,Apollo Strategic Growth Capital II,APGB,0.013000000000000001,0.075,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,846112512,,https://logo.clearbit.com/apollostrategicgrowthcapitalii.com
2021-02-10,Foresight Acquisition Corp.,FORE,0.009000000000000001,0.05,Seeking a Target,Financial Services,NMS,United States,Shell Companies,,0,
2021-02-10,ScION Tech Growth II,SCOB,0.021,0.126,Seeking a Target,Financial Services,NMS,United Kingdom,Shell Companies,425212480,,
2021-02-10,Power & Digital Infrastructure Acquisition Corp.,XPDI,0.027999999999999997,0.168,Seeking a Target,Financial Services,NMS,United States,Shell Companies,429956256,,
2021-02-10,Lazard Growth Acquisition Corp. I,LGAC,0.01,0.057,Seeking a Target,Financial Services,NMS,United States,Shell Companies,,,https://logo.clearbit.com/lazardltd.gcs-web.com
2021-02-09,Venus Acquisition Corporation,VENA,0.10300000000000001,0.718,Seeking a Target,Financial Services,NMS,United States,Shell Companies,59834504,0,
2021-02-09,Pivotal Investment Corporation III,PICC,0.011000000000000001,0.065,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,273516000,0.072459996,
2021-02-09,Progress Acquisition Corp.,PGRW,0.013999999999999999,0.077,Seeking a Target,Financial Services,NCM,United States,Shell Companies,212782512,0.0018099999,
2021-02-09,ECP Environmental Growth Opportunities Corp.,ENNV,,,Seeking a Target,Financial Services,NCM,United States,Shell Companies,,,
2021-02-09,Spartan Acquisition Corp. III,SPAQ,0.016,0.09,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,678746112,,
2021-02-09,Evo Acquisition Corp.,EVOJ,,,Seeking a Target,Financial Services,NMS,United States,Shell Companies,,0,https://logo.clearbit.com/evospac.com
2021-02-09,Crown PropTech Acquisitions,CPTK,0.009000000000000001,0.053,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,,0.055859998,
2021-02-09,Priveterra Acquisition Corp.,PMGM,0.004,0.022000000000000002,Seeking a Target,Financial Services,NCM,United States,Shell Companies,,,
2021-02-09,"GigCapital4, Inc.",GIG,0.001,0.004,Seeking a Target,Financial Services,NCM,United States,Shell Companies,,0,https://logo.clearbit.com/gigcapitalglobal.com
2021-02-09,Adara Acquisition Corp.,ADRA,,,Seeking a Target,NaN,NYQ,NaN,NaN,140285616,NaN,
2021-02-05,RMG Acquisition Corp. III,RMGC,0.008,0.04,Seeking a Target,Financial Services,NCM,United States,Shell Companies,595297472,,
2021-02-05,Thunder Bridge Capital Partners III Inc.,TBCP,0.008,0.043,Seeking a Target,Financial Services,NCM,United States,Shell Companies,520144576,,
2021-02-05,Sustainable Development Acquisition I Corp.,SDAC,0.027999999999999997,0.152,Seeking a Target,Financial Services,NCM,United States,Shell Companies,391267968,,
2021-02-05,JOFF Fintech Acquisition Corp.,JOFF,0.016,0.086,Seeking a Target,Financial Services,NCM,United States,Shell Companies,,,
2021-02-05,Quantum FinTech Acquisition Corporation,QFTA,0.013999999999999999,0.075,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,247788576,0.032509997,
2021-02-05,Compute Health Acquisition Corp.,CPUH,0.021,0.113,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,1063026304,,
2021-02-05,Altimar Acquisition Corp. II,ATMR,0.018000000000000002,0.096,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,425859360,,
2021-02-05,Fifth Wall Acquisition Corp. I,FWAA,0.028999999999999998,0.161,Seeking a Target,Financial Services,NMS,United States,Shell Companies,458068832,0.05302,
2021-02-05,G Squared Ascend I Inc.,GSQD,0.003,0.013999999999999999,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,423496128,,
2021-02-05,HH&L Acquisition Co.,HHLA,0.028999999999999998,0.159,Seeking a Target,Financial Services,NYQ,Hong Kong,Shell Companies,508702496,,
2021-02-05,COVA Acquisition Corp.,COVA,0.018000000000000002,0.095,Seeking a Target,Financial Services,NMS,United States,Shell Companies,368286336,,https://logo.clearbit.com/covaacquisitioncorp.com
2021-02-05,Alkuri Global Acquisition Corp,KURI,0.016,0.086,Seeking a Target,Financial Services,NMS,United States,Shell Companies,425428128,0.05014,
2021-02-04,Centricus Acquisition Corp.,CENH,0.025,0.135,Seeking a Target,Financial Services,NCM,United Kingdom,Shell Companies,432975008,0.050029997,
2021-02-04,Atlas Crest Investment Corp. II,ACII,,,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,433406272,,
2021-02-04,Decarbonization Plus Acquisition Corporation II,DCRN,0.027999999999999997,0.151,Seeking a Target,Financial Services,NMS,United States,Shell Companies,492559360,,
2021-02-04,Astrea Acquisition Corp.,ASAX,0.002,0.008,Seeking a Target,Financial Services,NMS,United States,Shell Companies,,0.0010899999,
2021-02-04,Novus Capital Corporation II,NXU,0.019,0.10099999999999999,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,,,https://logo.clearbit.com/novuscapitalcorporationII.com
2021-02-04,Itiquira Acquisition Corp.,ITQ,0.016,0.085,Seeking a Target,Financial Services,NCM,United States,Shell Companies,,0.12753001,
2021-02-03,CC Neuberger Principal Holdings III,PRPC,0.022000000000000002,0.11599999999999999,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,,0.09,
2021-02-03,"Kernel Group Holdings, Inc.",KRNL,0.009000000000000001,0.044000000000000004,Seeking a Target,Financial Services,NCM,United States,Shell Companies,,,
2021-02-03,Gaming & Hospitality Acquisition Corp.,GHAC,0.004,0.019,Seeking a Target,Financial Services,NCM,United States,Shell Companies,252877280,0.06322,https://logo.clearbit.com/gamingandhospitality.net
2021-02-03,The Music Acquisition Corporation,TMAC,0.011000000000000001,0.057,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,,0.06,https://logo.clearbit.com/musicacquisition.com
2021-02-02,Noble Rock Acquisition Corporation,NRAC,0.013000000000000001,0.068,Seeking a Target,Financial Services,NCM,United States,Shell Companies,300063744,0.05072,https://logo.clearbit.com/noblerockacquisitioncorp.com
2021-02-02,MDH Acquisition Corp.,MDH,0.006999999999999999,0.038,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,271032000,0.06404,
2021-02-02,Ares Acquisition Corporation,AAC,0.004,0.021,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,1227617792,0.0004,
2021-02-02,Jaws Mustang Acquisition Corporation,JWSM,0.026000000000000002,0.136,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,1287281280,,
2021-02-02,Thimble Point Acquisition Corp.,THMA,0.012,0.06,Seeking a Target,Financial Services,NCM,United States,Shell Companies,,,
2021-01-29,Brookline Capital Acquisition Corporation,BCAC,0.066,0.354,Seeking a Target,Financial Services,NMS,United States,Shell Companies,73527208,0.03425,
2021-01-29,Growth Capital Acquisition Corporation,GCAC,0.005,0.022000000000000002,Seeking a Target,Financial Services,NCM,United States,Shell Companies,211312512,,
2021-01-29,CF Acquisition Corp. V,CFV,0.013999999999999999,0.066,Seeking a Target,Financial Services,NCM,United States,Shell Companies,314996512,0.058590002,
2021-01-29,BlueRiver Acquisition Corp.,BLUA,0.01,0.047,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,360762240,0.08,
2021-01-29,"Mason Industrial Technology, Inc.",MIT,0.006,0.027000000000000003,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,615625024,,https://logo.clearbit.com/masonitech.com
2021-01-29,EQ Health Acquisition Corp.,EQHA,0.016,0.076,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,270874016,0.1033,https://logo.clearbit.com/eqhealthspac.com
2021-01-29,Clarim Acquisition Corp.,CLRM,-0.001,-0.002,Seeking a Target,Financial Services,NMS,United States,Shell Companies,352187520,,
